Origin,Destination,USD,Alternate origin name,kayak.com 20190929 for 20191010-20191026 Round trip
Adelaide,Tokyo,837,,Cathay one stop
Ankara,Tokyo,1087,,Qatar one stop
Atlanta,Tokyo,1305,Kennesaw,Delta nonstop
Beijing,Tokyo,547,,JAL nonstop
Charlotte,Tokyo,1291,Durham,"UA, one stop IAH"
Chennai,Tokyo,636,Madras,Cathay one stop
Chiang Mai,Tokyo,437,,Nok Air onestop FMK
Chicago,Tokyo,1093,,"ANA, nonstop"
Cincinnati,Tokyo,1591,,Delta one stop
Columbia,Tokyo,1707,South Carolina,JAL onestop DFW
Detroit,Tokyo,2076,,Delta nonstop
Frankfurt,Tokyo,1791,,"Lufthansa, nonstop"
Geneva,Tokyo,1538,,"KLM, one stop"
Guwahati,Tokyo,1468,Assam,ANA onestop DEL
Hamburg,Tokyo,1051,,"KLM, one stop"
Hanoi,Tokyo,441,,JAL nonstop
Hefei,Tokyo,468,,China Eastern onestop PVG
Honolulu,Tokyo,1151,,Korean nonstop
Hyderabad,Tokyo,615,,Cathay one stop
Indianapolis,Tokyo,1002,Bloomington,Air Canada onestop YND
Jacksonville,Tokyo,1114,Florida,"Delta, one stop ATL"
Jaipur,Tokyo,1080,,"Air India, one stop"
Krakow,Tokyo,1172,,"KLM, one stop"
Kuala Lumpur,Tokyo,489,,Air Asia X nonstop
Kyiv,Tokyo,785,Kiev,Qatar one stop
Liaoning,Tokyo,349,Shenyang Taoxian,Korean onestop ICN
Ljubljana,Tokyo,1410,Ljubliana,"Lufthansa, one stop"
Louisville,Tokyo,1370,Cincinnati,ANA onestop ORD
Manauli,Tokyo,741,Chandigarh,ANA onestop DEL
Marseille,Tokyo,1514,,"AF, one stop"
Melbourne,Tokyo,784,,Quantas nonstop
Memphis,Tokyo,1770,,Delta one stop
Mexico City,Tokyo,1533,,"ANA, one stop"
Milan,Tokyo,1600,,"Alitalia, nonstop"
Mobile,Tokyo,1741,New Orleands,"UA, one stop IAH"
Montreal,Tokyo,1033,,Air Canada nonstop
Moscow,Tokyo,787,,"S7 Airlines, nonstop"
Mumbai,Tokyo,1285,Bombay,"ANA, nonstop"
Munich,Tokyo,1400,Muenchen,"Lufthansa, nonstop"
Naples,Tokyo,1559,Napoli,"Alitalia, one stop"
New York,Tokyo,1333,,"JAL, nonstop"
Novosibirsk,Tokyo,444,,"S7 Airlines, one stop "
Paris,Tokyo,1325,Orsay,"ANA, nonstop"
Paterna,Tokyo,791,Valencia,ANA onestop FRA
Pittsburgh,Tokyo,724,PITTSBURGH (PENNSYLVA),Delta one stop
Praha,Tokyo,647,Prague,"LOT, one stop WAW"
Quebec,Tokyo,1010,Montreal,Air Canada nonstop
Richland,Tokyo,1010,Pasco,Delta onestop SEA
Rome,Tokyo,1655,Roma,"Alitalia, nonstop"
Seattle,Tokyo,1364,,JAL nonstop
Seoul,Tokyo,196,,Korean nonstop
Shandong,Tokyo,656,Jinan,ANA onestop PVG
Shanghai,Tokyo,246,,HKG nonstop
Sydney,Tokyo,698,,JAL nonstop
Taipei,Tokyo,278,,Jetstar nonstop
Tel Aviv,Tokyo,1255,Tel-Aviv,"LOT, one stop"
Torino,Tokyo,1197,Turin,"KLM, one stop"
Vancouver,Tokyo,1115, ,Air Canada nonstop
Vienna,Tokyo,1286,,"Austrian, nonstop"
Washington,Tokyo,1614,,"ANA, nonstop"
Yerevan,Tokyo,1017, ,"S7 Airlines, one stop "
Tabuk,Tokyo,1443,,"2 stops JED, CGK"
Ames,Tokyo,1741,Des Moines,one stop MSP
 ,,,,