from,to ,leg,one way distance (km),CO2 in kg/roundtrip,CO2 kg/ r-t km,via,https://www.icao.int/environmental-protection/CarbonOffset/Pages/default.aspx
JFK,NRT,1,10828,943.4,0.04356,,
CDG,NRT,1,9708,846.4,0.04359,,
FRA,NRT,1,9365,674.6,0.03602,,
MAA,NRT,1,6489,753.2,0.05804,,
ORD,NRT,1,10071,904.4,0.04490,,
FCO,NRT,1,9902,942.3,0.04758,,
SVO,NRT,1,7504,670.4,0.04467,,
LJU,NRT,2,9972,875.5,0.04390,,
PIT,NRT,2,10732,1112,0.05181,,
NAP,NRT,2,10100,1026.5,0.05082,,
ADL,NRT,2,9831,1228.6,0.06249,,
MEX,NRT,2,11896,1258.3,0.05289,,
TPE,NRT,1,2181,317,0.07267,,
PVG,NRT,1,1794,275.8,0.07687,,
VIE,NRT,1,9151,878,0.04797,,
PEK,NRT,1,2134,336.2,0.07877,,
ESB,NRT,2,10683,1316.4,0.06161,,
MAA,NRT,2,5671,936.7,0.08259,,
JAI,NRT,2,7617,903.8,0.05933,,
KRK,NRT,2,10389,1094.2,0.05266,,
KBP,NRT,2,11597,1427.8,0.06156,,
ICN,NRT,1,1255,201.1,0.08012,,
HAN,NRT,1,2718,411.6,0.07572,,
HNL,NRT,1,6133,563.8,0.04596,,
MEL,NRT,1,8172,889.8,0.05444,,
SYD,NRT,1,7825,769.6,0.04918,,
MEX,NRT,2,11251,1274.6,0.05664,,
TLV,NRT,2,11116,1002.6,0.04510,,
YVR,NRT,1,7501,641.6,0.04277,,
TNA,NRT,2,2557,449,0.08780,,
JAX,NRT,2,11461,1260.5,0.05499,ORD,
SDF,NRT,2,10531,1106.3,0.05253,ORD,
HFE,NRT,2,3032,525,0.08658,PEK,
BKK,NRT,1,4646,539.6,0.05807,,
GAU,NRT,2,7359,931.5,0.06329,DEL,
SHE,NRT,2,1783,321.4,0.09013,ICN,
IXC,NRT,2,6143,745.8,0.06070,DEL,
YQB,HND,2,11073,1090,0.04922,YYZ,
IND,HND,2,10404,1028.5,0.04943,ORD,
CAE,NRT,2,11798,1259.5,0.05338,DFW,
ATL,NRT,1,10998,961.1,0.04369,,
MOB,NRT,2,11349,1263.7,0.05567,IAH,
TUU,HND,2,9864,1343.4,0.06810,DXB,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,