Date,TB
4/30/2019,24.92968262
5/3/2019,23.61817003
5/5/2019,20.12057093
5/8/2019,28.36486523
5/10/2019,37.7149729
5/13/2019,62.5558729
5/16/2019,78.98896598
6/7/2019,170.6751521
6/9/2019,179.8916486
6/12/2019,189.4410106
6/15/2019,204.0699901
6/18/2019,207.9002224
6/20/2019,214.4834342
6/23/2019,216.5182452
6/26/2019,216.7576347
6/28/2019,219.7500037
7/1/2019,221.4257303
7/4/2019,220.8272565
7/6/2019,220.8272565
7/9/2019,221.9045094
7/12/2019,224.1787098
7/14/2019,223.8196255
7/17/2019,215.1218063
7/20/2019,216.1114394
7/23/2019,214.2979424
7/25/2019,217.1241999
7/28/2019,213.5052621
7/31/2019,216.3816523
8/2/2019,214.3826387
8/5/2019,214.5212326
8/8/2019,214.4519356
8/10/2019,215.2315265
8/13/2019,214.4519356
8/16/2019,214.4519356
8/19/2019,215.1055515
8/21/2019,214.5289323
8/24/2019,214.4519356
8/27/2019,215.3412467
8/29/2019,214.4519356
9/1/2019,216.3351826
9/4/2019,213.5052621
9/6/2019,218.4573003
9/9/2019,213.5857235
9/12/2019,218.2378599
9/15/2019,224.2984046
9/17/2019,224.2984046
9/20/2019,224.1787098
9/23/2019,224.1787098
9/26/2019,219.4165683
9/28/2019,214.4519356
10/1/2019,216.257733
10/4/2019,212.7041121
10/6/2019,215.8898477
10/9/2019,211.8082564
10/11/2019,219.0318351
10/15/2019,208.4947064
10/18/2019,208.3191541
10/20/2019,207.591536
10/23/2019,208.6848881
10/26/2019,209.7519708
10/28/2019,214.9622133
10/31/2019,218.9620132
11/4/2019,213.689669
11/7/2019,218.6328526
11/9/2019,219.5799111
11/12/2019,225.7473411
11/15/2019,231.4579245
11/17/2019,242.6117028
11/20/2019,243.9325013
11/23/2019,244.0879382
11/25/2019,251.5747281
11/28/2019,255.560436
12/1/2019,265.7686491
12/3/2019,271.8172243
12/6/2019,278.6398256
12/9/2019,282.7094474
12/12/2019,283.541011
12/14/2019,290.6824484
12/17/2019,303.8954199
12/20/2019,305.2120623
12/23/2019,292.7575075
12/26/2019,298.5091557
12/29/2019,292.1190515
1/1/2020,293.0544945
1/4/2020,296.8999262
1/11/2020,301.0327203
1/13/2020,304.7332832
1/16/2020,303.2969461
1/19/2020,305.0923675
1/22/2020,292.7575075
1/25/2020,293.5197742
1/28/2020,294.9057135
1/31/2020,294.9057135
2/2/2020,295.8027242
2/5/2020,294.0984038
2/8/2020,296.9601647
2/10/2020,293.9667396
2/13/2020,296.9601647
2/16/2020,294.1379031
2/18/2020,295.8027242
2/21/2020,294.9750104
2/24/2020,294.9057135
2/26/2020,294.9057135
2/29/2020,294.9750104
3/3/2020,291.78735
3/6/2020,289.5698471
3/8/2020,292.8243587
3/11/2020,299.0977723
3/14/2020,313.4710007
3/17/2020,306.4821567
3/20/2020,313.8930822
3/22/2020,316.2106808
3/25/2020,324.6026134
3/28/2020,323.1962
3/31/2020,334.890063
4/2/2020,353.5782449
4/5/2020,366.8359645
4/8/2020,388.5528638
4/10/2020,400.9146726
4/13/2020,434.7309998
4/16/2020,451.3274456
4/18/2020,470.7259763
4/20/2020,494.1622103
4/23/2020,518.9428055
4/25/2020,547.8300158
4/28/2020,564.4016154
5/1/2020,594.2834572
5/4/2020,603.3717093
5/6/2020,636.583902
5/8/2020,651.7157929
5/11/2020,682.2665154
5/14/2020,695.8718198
5/16/2020,704.2983309
5/19/2020,719.9544055
5/22/2020,729.2157876
5/25/2020,737.4996624
5/27/2020,769.1741507
5/28/2020,804.5387025
5/29/2020,835.388032
5/31/2020,860.3275562
6/2/2020,876.0957765
6/5/2020,906.4468212
6/7/2020,923.6634874
6/9/2020,952.9901286
6/24/2020,1269.233659
6/27/2020,1299.55425
6/29/2020,1346.535685
7/1/2020,1384.661653
7/4/2020,1384.613708
7/6/2020,1396.369443
7/9/2020,1399.222168
7/12/2020,1398.623694
7/14/2020,1400.060032
7/17/2020,1403.900121
7/20/2020,1415.979435
7/22/2020,1424.358068
7/26/2020,1492.517251
6/16/2020,1046.280992
6/19/2020,1153.719008
6/22/2020,1219.834711
5/25/2019,104.1322314
5/29/2019,128.9256198
6/2/2019,145.4545455